# format : <name> <packetKeyHex> <randKeyHex> <payloadHex> <frameHex>
# frame  : [code][len][randKey][checkSum][encoded payload]
empty_rk5A             77 5A - 7700005A23
empty_rk00             77 00 - 7700000079
empty_rkFF             77 FF - 770000FF78
one_zero_rk5A          77 5A 00 7701005A232B
one_ff_rk00            77 00 FF 770100008600
one_ff_rkFF            77 FF FF 770100FF87FF
four_zero_rkFF         77 FF 00000000 770400FF78F069E254
four_ff_rk00           77 00 FFFFFFFF 7704000085FE840087
max_len_251            77 77 000102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292A2B2C2D2E2F303132333435363738393A3B3C3D3E3F404142434445464748494A4B4C4D4E4F505152535455565758595A5B5C5D5E5F606162636465666768696A6B6C6D6E6F707172737475767778797A7B7C7D7E7F808182838485868788898A8B8C8D8E8F909192939495969798999A9B9C9D9E9FA0A1A2A3A4A5A6A7A8A9AAABACADAEAFB0B1B2B3B4B5B6B7B8B9BABBBCBDBEBFC0C1C2C3C4C5C6C7C8C9CACBCCCDCECFD0D1D2D3D4D5D6D7D8D9DADBDCDDDEDFE0E1E2E3E4E5E6E7E8E9EAEBECEDEEEFF0F1F2F3F4F5F6F7F8F9FA 77FB00778F7819F08F6801E0876801E0876809F09F4829209FF8F1909778F11097F8F980AF38F970AF28E160A728E160A728E970BF0889E03FB851D037B851D037B859C0CFB8D9B0CFA8C1A0C7A8C1A0C7A8C9B0DF88E960DF3831505738B150D73839406F7839306F68212067682120676829307F4849207F78111077781110777819008F7819F08F6801E0876801E0876809F09F4829209FF8F1909778F11097F8F980AF38F970AF28E160A728E160A728E970BF0889E03FB851D037B851D037B859C0CFB8D9B0CFA8C1A0C7A8C1A0C7A8C9B0DF88E960DF3831505738B150D73839406F7839306F68212067682120676829307F4849207F78111077781110
rand_000               77 F5 DCC36DC46D5525906C6FD0DBE43EFCCEE8DB6DEA856EB44C 771800F5483A84BBCDD2918B02E76239B8D1990F6C1F805463FBF04DD1
rand_001               77 85 0430151440B51A9458E07FF2D6E24189B49E4FE071663C89640538484F033E7837248FAB73325E9104FCCD1B249F18DF210410BF6CAACCC5EDA69B529AE83C7848BF52A4C1A0128016233F17374E583BC01610231623FE59B3D496D4BE835860DF0A474751859D2A395ABD303677696339DB355697583B0B5C971115E35CF8FAA30B56DB4C6C675713AB2FAC49A3B31F335B689F16D1ECA591F7F45E2FFC860C3DCC68AAD9DAD8CE4C1D7DD49A589E39579F9245BB1777EDF9FD27F7CDEA685F545563FA215958598DB88FF04E2192774CAE9991B0B146AC3DB09228E3AE08BB91AC31144C704FBE7E 77E90085E0422FA39847AECFAB07D2C69D9E961BB6279FA2EC554DABA7670335C4A69C48B96504B42E911B055955546E42C02228989FDBDD23D9E8777CDA9D1994CF27856475A0517DC018F6D9B2AFE1D7EEBC06AE8093FC97483DFA47C7F21F9B8501BFBA588B83D796FF3BE2126F635409BC821E55AE26FD97A4B68E041AF10E0E49EAA853BC1B7A436D3209539766C83184F076E906779C850A438EF27EFEDD2FB86B458E9C826B71707B77CF6B386070E73609EB9B93751CA78BCDB2955DB14866A8C4C22E117510F96457573EF6038AE7307BD2DCA7B813A2978F1A8600470908EBE2A2518B62033912345E
rand_002               77 89 489083F7A3BA9167CB1A27BFA904191E399AD1CCE89CDBB84081A825C6C68BA023860835834B4EE23B24024CAEF73EB17119DA1EAD1CEAE2C5E88742390DD36ECB5837B4E0A5EFF428F3C95481BE293419 775100894C32BF19D326184BC214674B477A4A2B39DE4ABB87A3FA3E2F047F3421E04E8F9350448C1CD92C893F1236EC372C8D12EBE9B359DEBC8176CC1503B8FACBA06E4BF75692AB3C7B873C9B9400BD530E0C5367
rand_003               77 EB 65D3BADF95EDAA970EDFFD63A1862F98DC81707B84DCB2043F 771900EBF879D6FF3A10FAB462A6CC6990C21FDB8209126D72F75389724C
rand_004               77 45 E2907911BE08231DC4BBFEEF60F2803C 7710004542D86919C35FBEAED2DC3AF60828A5CC5E
rand_005               77 D1 9D33B4163055FB799D873C74B4656FABD9DAAA7162EDA03B41DE6954E37281D2588B12C8B3FB76BDB49AF75DA497DA6F810B9D075BD47CFDFEA03A9DD1481DA0FE603B5CD30CF4376914C061833B2BC3B8CD1D32D5785FE97D5C5B3612652373D9D9B538582D7ECF031D1CE818FC688EC848B45A978151E7053B55856E739A322F1F0AC60A081A6DCCDC955A2C7F9BBAF7A3E9E76A985BDFDF65AEF4AD178BC54959C16CB145D3F90A7AB220876FCB2E8E074441166583B95401F1EA96FBFD136FB06394148CAE5B061FFBA0F17201D2D49B4E 77D300D178BF28F153F5DB208D9BEB81BC6D9A0420FF699B03F93BCF8BE2409B4D50368DC5D59BCD506E8C24700A21B97BA151357D0483819FAE622A622E0970639F8AAC3B78F243A7D84E08E08B1F4DBDCAC3D5DF75F3523E99A5C0A7672E1E89E63195D19CC5FD72F50C8D024AD49E0D24E08467D6425EA92B9D1001BB0358358C07B2062F1297A525F4D930B983868EDC32932DD813A16F3F7E4AB443C27F7F6209497F404F2190381E2F3AA1CFC974065CB97307298DA767CB9E997CED0170E7342CAED579DC72BAD90CB96C83F754664107ACA79CBB
rand_006               77 C6 8FD35DAA38A3CFF2C7F806E84C77A5FC83B57C08F1F9433230448E13888EFD19BF53B329314E0A89238585FE54850731D5EF42571B337111539C4A91F58D2EFF9C0AA41B15790523B5AA79F7F016217B2864963DC33293588011EE980BD1CDDECF0016 776300C61D34164ECAB3532D91D93FF29DD1E85F1CF5E3641D92CCD238C3FA9237B1AB6D0AEBE77DDAE94258D9484CF278AB7F0586D98396A6A89DF402469263AF2D2030F937751AF89A1D8A0C2EAE78D7936B5BD89A54C3453775594D1AD813A415AB290D1DD3F6
rand_007               77 4E AD27882871C81C4AB15DA2251D6100127C0FCD61AC626EF1E4407EFF3DF2743C71D87F22E25BB587DE226D732189E92F9B4F399E748E5BD04EF1A7D5CA216BCF4D80D24B041A0AD225D9A5BA78F8404217B963DF725BA9D0954621F8AE8AF3EDC987474DDFED62510FE812A42B944D7576B715CBACAF9E1843A9B312F11456BE6E56A7CD7BBD072C23B87CD7414757EE42B0150A2C7484D1DF8127C89CA9DA69C353B976E1703F8CE9B1ABFBC2F7A8D5020C2C45FA90A122F23643C4B530C91751E747ED18F05399EA3B67B9B78E86533F3222241CED3E340330D0AE479069EF9E7A17DD28238B7AADBF77B927F33A90808CBF 77F3004EA8ACDF992B4B39E299F81CFD1977DAE49A091789FA78008D85F28915227DD62A486A2052903D05453A52D48025966C34556C4A124AFBB69B1E5CE34674F9D3EB9CD7024AC7D56FB68BFC2E7ED2C380A0AC067D64202BC9E741191951B5185BA2A8CADFD0FC029D2D542B32FEE050F01EFB2F22E5B116E6E336C9A5C38389D5E299EFF1A170D7E7E923A54588C0ACB332B3971DA3CBBCF7A1EE67794125FA140365D3203DD69188853035BB930444F72DB23E826D1F3C8FF4570197276761AD651A95FF3F8EDACEB2BD7328BBAD2B0940F49E1E53E6B24BD567D181C8F51881AC4843F4C37D6412FCE21851A6FE747D3B2DD84156
